"county_id","county_name","district_id","district_name","line_no","account","line_desc","amount_1","amount_2","amount_3"
01,"Atlantic",0010,"Absecon City",100,"'10-1210","Local Tax Levy",11914429.00,11914429.00,12152718.00
01,"Atlantic",0010,"Absecon City",190,"'10-1300","Total Tuition",74936.00,46504.00,14955.00
01,"Atlantic",0010,"Absecon City",240,"'10-1410","Transportation Fees from Individuals",450.00,0.00,0.00
01,"Atlantic",0010,"Absecon City",300,"'10-1XXX","Unrestricted Miscellaneous Revenues",0.00,4100.00,2600.00
01,"Atlantic",0010,"Absecon City",330,"'10-1XXX","Interest Earned on Maintenance Reserve",0.00,2.00,10.00
01,"Atlantic",0010,"Absecon City",340,"'10-1XXX","Interest Earned on Capital Reserve Funds",418.00,10.00,10.00
01,"Atlantic",0010,"Absecon City",350,"'10-1XXX","Other Restricted Miscellaneous Revenues / Paycheck Protection Program (Apssds Only)",14660.00,0.00,0.00
01,"Atlantic",0010,"Absecon City",370,"'","Total Revenues from Local Sources",12004893.00,11965045.00,12170293.00
01,"Atlantic",0010,"Absecon City",420,"'10-3121","Categorical Transportation Aid",343882.00,343882.00,343882.00
01,"Atlantic",0010,"Absecon City",430,"'10-3131","Extraordinary Aid",88029.00,0.00,0.00
01,"Atlantic",0010,"Absecon City",440,"'10-3132","Categorical Special Education Aid",756476.00,756476.00,756476.00
01,"Atlantic",0010,"Absecon City",460,"'10-3176","Equalization Aid",1702169.00,1992142.00,2514334.00
01,"Atlantic",0010,"Absecon City",470,"'10-3177","Categorical Security Aid",261412.00,261412.00,261412.00
01,"Atlantic",0010,"Absecon City",500,"'10-3XXX","Other State Aids",56695.00,0.00,0.00
01,"Atlantic",0010,"Absecon City",520,"'","Total Revenues from State Sources",3208663.00,3353912.00,3876104.00
01,"Atlantic",0010,"Absecon City",540,"'10-4200","Medicaid Reimbursement",26005.00,28023.00,30931.00
01,"Atlantic",0010,"Absecon City",570,"'","Total Revenues from Federal Sources",26005.00,28023.00,30931.00
01,"Atlantic",0010,"Absecon City",580,"'10-303","Budgeted Fund Balance-Operating Budget",0.00,350000.00,433281.00
01,"Atlantic",0010,"Absecon City",620,"'10-309","Withdrawal from Capital Reserve for Excess Cost and Other Capital Projects",0.00,12000.00,15000.00
01,"Atlantic",0010,"Absecon City",630,"'10-310","Withdrawal from Maintenance Reserve",0.00,20000.00,40000.00
01,"Atlantic",0010,"Absecon City",640,"'10-311","Withdrawal from Tuition Reserve for Tuition Adjustments",0.00,165030.00,131854.00
01,"Atlantic",0010,"Absecon City",710,"'","Adjustment for Prior Year Encumbrances",0.00,59099.00,0.00
01,"Atlantic",0010,"Absecon City",715,"'","Actual Revenues (Over)/Under Expenditures",-483549.00,0.00,0.00
01,"Atlantic",0010,"Absecon City",720,"'","Total Operating Budget",14756012.00,15953109.00,16697463.00
01,"Atlantic",0010,"Absecon City",760,"'20-3218","Preschool Education Aid",123722.00,756370.00,937584.00
01,"Atlantic",0010,"Absecon City",765,"'20-32XX","Other Restricted Entitlements",248351.00,262285.00,262285.00
01,"Atlantic",0010,"Absecon City",770,"'","Total Revenues from State Sources",372073.00,1018655.00,1199869.00
01,"Atlantic",0010,"Absecon City",775,"'20-4411-4416","Title I",242567.00,261750.00,222487.00
01,"Atlantic",0010,"Absecon City",780,"'20-4451-4455","Title II",35414.00,43993.00,37394.00
01,"Atlantic",0010,"Absecon City",785,"'20-4491-4494","Title III",13698.00,11844.00,10067.00
01,"Atlantic",0010,"Absecon City",790,"'20-4471-4474","Title IV",10344.00,23181.00,19703.00
01,"Atlantic",0010,"Absecon City",805,"'20-4420-4429","I.D.E.A. Part B (Handicapped)",316672.00,304097.00,258482.00
01,"Atlantic",0010,"Absecon City",818,"'20-4527","Preschool Development Expansion Grant",340566.00,0.00,0.00
01,"Atlantic",0010,"Absecon City",825,"'20-4XXX","Other",0.00,9283.00,7891.00
01,"Atlantic",0010,"Absecon City",830,"'","Total Revenues from Federal Sources",959261.00,654148.00,556024.00
01,"Atlantic",0010,"Absecon City",836,"'20-5200","Transfers from Operating Budget-Pre-Kindergartenindergarten (Special Education)",0.00,10000.00,10000.00
01,"Atlantic",0010,"Absecon City",840,"'","Total Grants and Entitlements",1331334.00,1682803.00,1765893.00
01,"Atlantic",0010,"Absecon City",845,"'40-5200","Transfers from Other Funds",66648.00,0.00,0.00
01,"Atlantic",0010,"Absecon City",860,"'40-1210","Local Tax Levy",260024.00,262660.00,198663.00
01,"Atlantic",0010,"Absecon City",865,"'40-1510","Interest on Investments",10.00,10.00,10.00
01,"Atlantic",0010,"Absecon City",875,"'40-1XXX","Miscellaneous",10.00,10.00,10.00
01,"Atlantic",0010,"Absecon City",885,"'","Total Revenues from Local Sources",260034.00,262670.00,198673.00
01,"Atlantic",0010,"Absecon City",890,"'40-3160","Debt Service Aid Type II",134361.00,135620.00,136676.00
01,"Atlantic",0010,"Absecon City",892,"'40-303","Budgeted Fund Balance",0.00,592.00,66639.00
01,"Atlantic",0010,"Absecon City",895,"'","Total Local Repayment of Debt",461043.00,398882.00,401988.00
01,"Atlantic",0010,"Absecon City",930,"'","Actual Revenues (Over)/Under Expenditures",-65862.00,0.00,0.00
01,"Atlantic",0010,"Absecon City",935,"'","Total Repayment of Debt",395181.00,398882.00,401988.00
01,"Atlantic",0010,"Absecon City",1000,"'","Total Revenues/Sources",16482527.00,18034794.00,18865344.00
01,"Atlantic",0010,"Absecon City",1002,"'20-5200","Deduct Transfer-Transfers from Operating Budget-Pre-Kindergartenindergarten (Special Education)",0.00,10000.00,10000.00
01,"Atlantic",0010,"Absecon City",1010,"'","Total Revenues/Sources Net of Transfers",16482527.00,18024794.00,18855344.00
01,"Atlantic",0110,"Atlantic City",100,"'10-1210","Local Tax Levy",81888890.00,81888890.00,81888890.00
01,"Atlantic",0110,"Atlantic City",190,"'10-1300","Total Tuition",6207327.00,5481359.00,6759676.00
01,"Atlantic",0110,"Atlantic City",250,"'10-1420-1440","Transportation Fees from Other Local Education Authorities",2615.00,0.00,0.00
01,"Atlantic",0110,"Atlantic City",260,"'10-1910","Rents and Royalties",17190.00,270400.00,90000.00
01,"Atlantic",0110,"Atlantic City",300,"'10-1XXX","Unrestricted Miscellaneous Revenues",997755.00,151863.00,97726.00
01,"Atlantic",0110,"Atlantic City",330,"'10-1XXX","Interest Earned on Maintenance Reserve",0.00,2000.00,2000.00
01,"Atlantic",0110,"Atlantic City",340,"'10-1XXX","Interest Earned on Capital Reserve Funds",0.00,52137.00,52137.00
01,"Atlantic",0110,"Atlantic City",370,"'","Total Revenues from Local Sources",89113777.00,87846649.00,88890429.00
01,"Atlantic",0110,"Atlantic City",410,"'10-3116","School Choice Aid",248683.00,198020.00,37727.00
01,"Atlantic",0110,"Atlantic City",420,"'10-3121","Categorical Transportation Aid",1390702.00,1390702.00,1390702.00
01,"Atlantic",0110,"Atlantic City",430,"'10-3131","Extraordinary Aid",355823.00,0.00,0.00
01,"Atlantic",0110,"Atlantic City",440,"'10-3132","Categorical Special Education Aid",5620334.00,5620334.00,5620334.00
01,"Atlantic",0110,"Atlantic City",460,"'10-3176","Equalization Aid",11053783.00,22497852.00,40462016.00
01,"Atlantic",0110,"Atlantic City",470,"'10-3177","Categorical Security Aid",3248102.00,3248102.00,3248102.00
01,"Atlantic",0110,"Atlantic City",480,"'10-3178","Adjustment Aid",7482500.00,7482500.00,7482500.00
01,"Atlantic",0110,"Atlantic City",500,"'10-3XXX","Other State Aids",20012180.00,20000000.00,20000000.00
01,"Atlantic",0110,"Atlantic City",520,"'","Total Revenues from State Sources",49412107.00,60437510.00,78241381.00
01,"Atlantic",0110,"Atlantic City",531,"'10-4101","Impact Aid-8002 Or 8003 General",36890.00,41750.00,41750.00
01,"Atlantic",0110,"Atlantic City",540,"'10-4200","Medicaid Reimbursement",0.00,247349.00,250054.00
01,"Atlantic",0110,"Atlantic City",541,"'10-4210","ARRA/SEMI Revenue",316268.00,0.00,0.00
01,"Atlantic",0110,"Atlantic City",570,"'","Total Revenues from Federal Sources",353158.00,289099.00,291804.00
01,"Atlantic",0110,"Atlantic City",580,"'10-303","Budgeted Fund Balance-Operating Budget",0.00,16515398.00,8987412.00
01,"Atlantic",0110,"Atlantic City",640,"'10-311","Withdrawal from Tuition Reserve for Tuition Adjustments",0.00,943000.00,0.00
01,"Atlantic",0110,"Atlantic City",650,"'10-311","Withdrawal from Tuition Reserve for Excess Over Adjustments",0.00,0.00,1000000.00
01,"Atlantic",0110,"Atlantic City",680,"'10-5200","Transfers from Other Funds",41086.00,0.00,0.00
01,"Atlantic",0110,"Atlantic City",710,"'","Adjustment for Prior Year Encumbrances",0.00,1757615.00,0.00
01,"Atlantic",0110,"Atlantic City",715,"'","Actual Revenues (Over)/Under Expenditures",-661639.00,0.00,0.00
01,"Atlantic",0110,"Atlantic City",720,"'","Total Operating Budget",138258489.00,167789271.00,177411026.00
01,"Atlantic",0110,"Atlantic City",740,"'20-1XXX","Other Revenue from Local Sources",22001.00,17087.00,0.00
01,"Atlantic",0110,"Atlantic City",745,"'20-1XXX","Total Revenues from Local Sources",22001.00,17087.00,0.00
01,"Atlantic",0110,"Atlantic City",755,"'20-3218","Preschool Education Aid-Prior Year Carryover",0.00,175521.00,0.00
01,"Atlantic",0110,"Atlantic City",760,"'20-3218","Preschool Education Aid",3613065.00,6491121.00,6602154.00
01,"Atlantic",0110,"Atlantic City",765,"'20-32XX","Other Restricted Entitlements",92174.00,124702.00,105980.00
01,"Atlantic",0110,"Atlantic City",770,"'","Total Revenues from State Sources",3705239.00,6791344.00,6708134.00
01,"Atlantic",0110,"Atlantic City",775,"'20-4411-4416","Title I",5653928.00,8024465.00,5309618.00
01,"Atlantic",0110,"Atlantic City",780,"'20-4451-4455","Title II",405796.00,684633.00,411941.00
01,"Atlantic",0110,"Atlantic City",785,"'20-4491-4494","Title III",225045.00,271130.00,206642.00
01,"Atlantic",0110,"Atlantic City",790,"'20-4471-4474","Title IV",24897.00,548618.00,230764.00
01,"Atlantic",0110,"Atlantic City",805,"'20-4420-4429","I.D.E.A. Part B (Handicapped)",1797513.00,1830934.00,1556294.00
01,"Atlantic",0110,"Atlantic City",810,"'20-4430","Vocational Education",0.00,93870.00,79790.00
01,"Atlantic",0110,"Atlantic City",818,"'20-4527","Preschool Development Expansion Grant",3241472.00,0.00,0.00
01,"Atlantic",0110,"Atlantic City",825,"'20-4XXX","Other",118568.00,6239.00,0.00
01,"Atlantic",0110,"Atlantic City",830,"'","Total Revenues from Federal Sources",11467219.00,11459889.00,7795049.00
01,"Atlantic",0110,"Atlantic City",840,"'","Total Grants and Entitlements",15194459.00,18268320.00,14503183.00
01,"Atlantic",0110,"Atlantic City",845,"'40-5200","Transfers from Other Funds",61312.00,0.00,0.00
