"county_id","county_name","district_id","district_name","reg_district_id","muniflag","reg_name","gen_fun_sch_levy","strwo_entv","strwo_entv_dt2","strwo_gfst_rate","total_sch_levy","strwi_entv","strwi_entv_dt2","strwi_tst_rate","gen_fun_sch_levy2","estrwo_eev","estrwo_eev_dt2","estrwo_gfst_rate","total_sch_levy2","estrwi_eev","estrwi_eev_dt2","estrwi_etst_rate"
01,"Atlantic",0010,"Absecon City",,,,12152718,710099400,"01OCT19",1.711,12351381,710099400,"01OCT19",1.739,12152718,743893642,"01OCT19",1.634,12351381,743893642,"01OCT19",1.660
01,"Atlantic",0110,"Atlantic City",,,,81888890,2524921690,"01OCT19",3.243,42631859,2524921690,"01OCT19",1.688,81888890,2868251380,"01OCT19",2.855,42631859,2868251380,"01OCT19",1.486
01,"Atlantic",0570,"Brigantine City",,,,15863114,3296137900,"01OCT19",.4813,15863114,3296137900,"01OCT19",.4813,15863114,3374079128,"01OCT19",.4701,15863114,3374079128,"01OCT19",.4701
01,"Atlantic",0590,"Buena Regional",0590,"A","BUENA BORO",4344201,288978200,"01OCT19",1.503,4811304,288978200,"01OCT19",1.665,4344201,263114085,"01OCT19",1.651,4811304,263114085,"01OCT19",1.829
01,"Atlantic",0590,"Buena Regional",0590,"B","BUENA VISTA TWP",9734244,646308303,"01OCT19",1.506,10782592,646308303,"01OCT19",1.668,9734244,595040808,"01OCT19",1.636,10782592,595040808,"01OCT19",1.812
01,"Atlantic",0960,"Corbin City",,,,521059,50863400,"02JAN20",1.024,521059,50863400,"02JAN20",1.024,521059,51258081,"01OCT19",1.017,521059,51258081,"01OCT19",1.017
01,"Atlantic",1300,"Egg Harbor City",,,,2858614,198723500,"01OCT19",1.439,3275928,198723500,"01OCT19",1.649,2858614,213750134,"01OCT19",1.337,3275928,213750134,"01OCT19",1.533
01,"Atlantic",1310,"Egg Harbor Twp",,,,80243541,4044526646,"05FEB20",1.984,85907958,4044526646,"05FEB20",2.124,80243541,4333866422,"01JAN20",1.852,85907958,4333866422,"01JAN20",1.982
01,"Atlantic",1410,"Estell Manor City",,,,2487524,154614570,"01OCT19",1.609,2603143,154614570,"01OCT19",1.684,2487524,166931015,"01OCT19",1.490,2603143,166931015,"01OCT19",1.559
01,"Atlantic",1540,"Folsom Boro",,,,1781016,174454600,"01OCT19",1.021,1997216,174454600,"01OCT19",1.145,1781016,174926903,"01OCT19",1.018,1997216,174926903,"01OCT19",1.142
01,"Atlantic",1690,"Galloway Twp",,,,33540418,2728011500,"01OCT19",1.230,33665475,2728011500,"01OCT19",1.234,33540418,2865702106,"01OCT19",1.170,33665475,2865702106,"01OCT19",1.175
01,"Atlantic",1790,"Greater Egg Harbor Reg",1300,,"EGG HARBOR CITY",1354929,198862500,"01FEB20",.6813,1505092,198862500,"01FEB20",.7569,1354929,213750134,"01OCT19",.6339,1505092,213750134,"01OCT19",.7041
